geometry,amplitude,seed,n,dissonance,d_roughness,d_inharmonic,r_global,r_local,fragmentation,r_between,harmonic_purity,mean_incoherence,bifurcation_concentration,bifurcation_excess,branch_over_chain_mismatch,dissonance_intensive,defect_density,freq_spread_hz
lattice,2.5,2,625,0.14487514314811695,0.14487514314811695,0.09215601530497801,0.448075532913208,0.5101835421412751,0.06210800922806714,0.8430294162225639,0.5579611040700467,0.33881497383117676,nan,nan,nan,0.559474360290402,0.25129411764705883,0.0929921057714175
lattice,3.0,0,625,0.18650551316151803,0.18650551316151803,0.0357200563763207,0.5325945615768433,0.5820903346453291,0.04949577306848585,0.9257426480769254,0.6852316275285671,0.3004663288593292,nan,nan,nan,0.5523981234476759,0.20426666666666668,0.06194989120268831
lattice,3.0,1,625,0.21453007585550543,0.21453007585550543,0.041084933931604506,0.5387614965438843,0.5866101327021586,0.04784863615827428,0.9270310587527052,0.6595157597033983,0.29162928462028503,nan,nan,nan,0.6254355072525976,0.19523137254901962,0.03339390248583117
lattice,3.0,2,625,0.24674309198863334,0.24674309198863334,0.04609001136600282,0.5624521374702454,0.5997977601377078,0.03734562266746244,0.9105271823683099,0.7042243951118959,0.28827667236328125,nan,nan,nan,0.6880887397655897,0.1855686274509804,0.033357202451160486
lattice,3.5,0,625,0.23738130707839858,0.23738130707839858,0.011191969439993866,0.651260256767273,0.6915935843961803,0.0403333276289074,0.9595778568699649,0.8043045792813368,0.23660092055797577,nan,nan,nan,0.49809791548955723,0.12508235294117648,0.01570135923290558
lattice,3.5,1,625,0.21600458917359347,0.21600458917359347,0.005148343382836215,0.6554954051971436,0.6916385613908566,0.036143156193713,0.9611432097401521,0.7930893610227477,0.22949934005737305,nan,nan,nan,0.45273590345215414,0.11927843137254902,0.008515352810127528
lattice,3.5,2,625,0.23747306240953775,0.23747306240953775,0.008281776538679137,0.6715500354766846,0.6999144164087323,0.02836438093204774,0.9387896067748168,0.8231595339730207,0.22550275921821594,nan,nan,nan,0.48599315978658714,0.11046274509803922,0.011834134727088007
lattice,4.0,0,625,0.1668148422994756,0.1668148422994756,0.0022543232603168552,0.7493449449539185,0.7805544126439394,0.031209467690020976,0.9739875117467254,0.8772833684539665,0.16971030831336975,nan,nan,nan,0.2744852558519709,0.059074509803921565,0.006480846304931282
lattice,4.0,1,625,0.12540403491993005,0.12540403491993005,0.0006664064867200317,0.7642554044723511,0.7963834835094421,0.03212807903709103,0.9755770161191604,0.8872599156470585,0.16002856194972992,nan,nan,nan,0.19809322331910892,0.0571921568627451,0.00320009565300352
lattice,4.0,2,625,0.18625307846260833,0.18625307846260833,0.0026537512100304104,0.7697965502738953,0.7924385980037952,0.022642047729899972,0.9591705165738664,0.8947469406011005,0.16015498340129852,nan,nan,nan,0.29721802965982774,0.04978823529411765,0.006817478171808314
lattice,5.0,0,625,0.07162988953269935,0.07162988953269935,0.00021797765263285415,0.8836483955383301,0.9020233856921719,0.018374990153841808,0.9827331632110575,0.949669723930734,0.07164110988378525,nan,nan,nan,0.08819623870028923,0.005552941176470589,0.001683906532705566
lattice,5.0,1,625,0.030707223094952902,0.030707223094952902,2.542299511308566e-05,0.9003223776817322,0.9232252086138386,0.022902830932106433,0.9879751764176472,0.9596646327172667,0.06106138229370117,nan,nan,nan,0.036088704177430556,0.00407843137254902,0.0005477680599449958
lattice,5.0,2,625,0.043671822401434364,0.043671822401434364,5.035824035774194e-05,0.8958413600921631,0.912522062068342,0.01668070197617888,0.9776976964463425,0.9629088343669845,0.0674862414598465,nan,nan,nan,0.05253825676989257,0.003952941176470588,0.0007896977159606515
lattice,6.0,0,625,0.00379647163173666,0.00379647163173666,3.216432189251595e-07,0.94394451379776,0.956973275073078,0.013028761275317935,0.9908942781240223,0.9790666127384005,0.03151819482445717,nan,nan,nan,0.00415206413774348,3.137254901960784e-05,5.735829527906108e-05
lattice,6.0,1,625,0.00826405329305378,0.00826405329305378,2.698130525500862e-06,0.9484908580780029,0.9621447637121531,0.013653905634150143,0.9931108402842389,0.980639648674675,0.02912379801273346,nan,nan,nan,0.00894109208783824,0.0,0.00017119715279752043
